time;I(C2);I(XQ1:E);I(XQ2:E);I(XQ3:E);I(XQ4:E);P(R2);V(/dc_plus);user0;
0.50028;54.3232;0.000502002;-0.000445123;0.000502002;-0.000445123;42005.7;1296.24;1044.67;
0.50128;43.4572;0.00056005;-0.000510374;0.00056005;-0.000510374;41703.7;1291.57;954.411;
0.50228;26.3775;0.000610179;-0.000571769;0.000610179;-0.000571769;41455.3;1287.72;853.656;
0.50328;4.94996;0.000652391;-0.00062808;0.000652391;-0.00062808;41279.2;1284.98;743.511;
0.50428;-18.5423;0.000686894;-0.000678014;0.000686894;-0.000678014;41186.4;1283.53;625.187;
0.50528;-41.6407;0.00071403;-0.000720302;0.00071403;-0.000720302;41179.6;1283.43;499.986;
0.50628;-61.9675;0.000734196;-0.000753781;0.000734196;-0.000753781;41252.5;1284.56;369.285;
0.50728;-77.4702;0.000747769;-0.000777486;0.000747769;-0.000777486;41391;1286.72;234.521;
0.50828;-86.6273;0.000755039;-0.000790716;0.000755039;-0.000790716;41574.6;1289.57;97.1786;
0.50928;-88.5973;0.000756167;-0.000793084;0.000756167;-0.000793084;41778.5;1292.73;-41.2332;
0.51028;-83.2936;0.000751159;-0.000784547;0.000751159;-0.000784547;41975.7;1295.77;-179.192;
0.51128;-71.3815;0.000739867;-0.000765401;0.000739867;-0.000765401;42140.6;1298.32;-315.179;
0.51228;-54.197;0.000722019;-0.000736254;0.000722018;-0.000736254;42251;1300.01;-447.699;
0.51328;-33.5984;0.00069726;-0.000697975;0.00069726;-0.000697975;42290.5;1300.62;-575.294;
0.51428;-11.7653;0.000665223;-0.000651628;0.000665223;-0.000651628;42250.8;1300.01;-696.562;
0.51528;9.03077;0.000625593;-0.000598388;0.000625592;-0.000598388;42132;1298.18;-810.167;
0.51628;26.6628;0.000578184;-0.000539462;0.000578184;-0.000539463;41942.3;1295.26;-914.86;
0.51728;39.3649;0.000523004;-0.000476014;0.000523004;-0.000476014;41697.5;1291.47;-1009.49;
0.51828;45.9088;0.000460306;-0.000409095;0.000460306;-0.000409095;41418.8;1287.15;-1093.01;
0.51928;45.7217;0.000390618;-0.000339602;0.000390617;-0.000339603;41130.2;1282.66;-1164.52;
0.52028;38.9346;0.00031475;-0.000268257;0.00031475;-0.000268257;40856.3;1278.38;-1223.21;
0.52128;26.3571;0.000233782;-0.000195598;0.000233782;-0.000195599;40619.6;1274.67;-1268.45;
0.521797;22.3993;484.276;-0.000307373;484.276;-0.000307359;41212.4;1283.94;-1286.4;
0.522082;22.3653;604.548;-0.000329629;604.548;-0.000329633;41735.8;1292.07;-1294.66;
0.52219;22.8371;511.09;-0.000298319;511.09;-0.000298319;41925.4;1295;-1297.49;
0.522249;23.2203;481.306;-0.000278937;481.306;-0.000278937;42023.8;1296.52;-1298.98;
0.522288;23.5241;469.267;-0.000270927;469.267;-0.000270927;42086.9;1297.49;-1299.94;
0.522326;23.8525;460.1;-0.000264696;460.1;-0.000264696;42146.1;1298.4;-1300.84;
0.522402;24.6132;442.682;-0.00025273;442.682;-0.000252731;42260.3;1300.16;-1302.58;
0.522553;26.5218;407.902;-0.000228595;407.902;-0.000228595;42473.3;1303.43;-1305.81;
0.522856;31.6572;339.071;-0.000179958;339.071;-0.000179958;42836;1308.98;-1311.28;
0.523462;45.3284;204.159;-8.22783e-05;204.159;-8.22782e-05;43304.3;1316.12;-1318.26;
0.524319;65.9614;16.3394;5.55736e-05;16.3394;5.55737e-05;43377.1;1317.23;-1319.02;
0.524657;73.5477;-1.17842e-05;9.19704e-05;-1.17842e-05;9.19704e-05;43275;1315.67;-1316.39;
0.525011;80.5311;-4.85732e-05;0.000122926;-4.85736e-05;0.000122926;43136.3;1313.56;-1311.87;
0.525396;86.6708;-7.74416e-05;0.000155779;-7.74417e-05;0.000155779;42967.6;1310.99;-1304.87;
0.526118;93.4502;-0.000132845;0.000215545;-0.000132845;0.000215544;42631.4;1305.85;-1286.05;
0.527118;92.3746;-0.000211522;0.000293397;-0.000211522;0.000293397;42158.6;1298.59;-1247.83;
0.528118;79.7187;-0.000291161;0.000364624;-0.000291161;0.000364624;41717.4;1291.78;-1195.88;
0.529118;57.079;-0.000370377;0.000428896;-0.000370377;0.000428896;41345.5;1286.01;-1130.77;
0.530118;26.9927;-0.000447627;0.000486343;-0.000447627;0.000486343;41073.4;1281.77;-1053.22;
0.531118;-7.30006;-0.000521104;0.000537289;-0.000521104;0.000537289;40921;1279.39;-964.093;
0.532118;-42.1868;-0.000588938;0.000582236;-0.000588938;0.000582236;40895.8;1279;-864.358;
0.533118;-74.056;-0.000649326;0.000621746;-0.000649326;0.000621746;40992.9;1280.51;-755.114;
0.534118;-99.6678;-0.000700657;0.00065633;-0.000700657;0.00065633;41195.3;1283.67;-637.564;
0.535118;-116.481;-0.00074163;0.000686347;-0.00074163;0.000686347;41475.4;1288.03;-513.001;
0.536118;-122.905;-0.000771336;0.000711922;-0.000771336;0.000711922;41798.3;1293.03;-382.795;
0.537118;-118.446;-0.000789315;0.000732908;-0.000789315;0.000732908;42124.8;1298.07;-248.378;
0.538118;-103.741;-0.000795566;0.000748877;-0.000795566;0.000748877;42415.5;1302.54;-111.229;
0.539118;-80.4746;-0.000790524;0.000759151;-0.000790524;0.000759151;42635;1305.91;27.1432;
0.540118;-51.1857;-0.000774997;0.000762864;-0.000774997;0.000762864;42755.7;1307.76;165.217;
0.541118;-18.9936;-0.000750074;0.000759056;-0.000750074;0.000759056;42760.9;1307.84;301.474;
0.542118;12.7343;-0.000717017;0.000746781;-0.000717017;0.000746781;42646.3;1306.08;434.414;
0.543118;40.7337;-0.000677147;0.000725218;-0.000677147;0.000725218;42420.7;1302.62;562.576;
0.544118;62.1786;-0.000631724;0.000693781;-0.000631724;0.000693781;42104.5;1297.76;684.549;
0.545118;74.9654;-0.000581859;0.000652206;-0.000581858;0.000652206;41727.2;1291.93;798.993;
0.546118;77.9183;-0.000528434;0.000600616;-0.000528434;0.000600616;41323.9;1285.67;904.647;
0.547118;70.8953;-0.00047207;0.000539545;-0.00047207;0.000539545;40931.3;1279.55;1000.35;
0.548118;54.7858;-0.000413117;0.000469936;-0.000413116;0.000469936;40584.2;1274.11;1085.05;
0.549118;31.4019;-0.000351682;0.000393095;-0.000351682;0.000393095;40311.4;1269.83;1157.81;
0.550118;3.27651;-0.000287694;0.000310614;-0.000287694;0.000310614;40133.8;1267.02;1217.84;
0.551118;-26.6099;-0.00022098;0.000224279;-0.00022098;0.000224279;40062.2;1265.89;1264.47;
0.55152;-35.0049;-0.000375225;592.64;-0.000375242;592.64;40751.9;1276.74;1279.33;
0.55165;-36.931;-0.000376278;586.445;-0.000376275;586.445;41028.1;1281.06;1283.64;
0.551746;-38.0162;-0.000353703;534.006;-0.000353703;534.006;41226.5;1284.16;1286.68;
0.551806;-38.5322;-0.000339239;511.147;-0.000339239;511.147;41344.6;1285.99;1288.49;
0.551863;-38.9181;-0.000328961;495.046;-0.000328961;495.046;41456;1287.73;1290.2;
0.551917;-39.175;-0.000320501;481.937;-0.000320501;481.937;41556.6;1289.29;1291.75;
0.552024;-39.4079;-0.000303639;456.092;-0.000303639;456.092;41750.1;1292.29;1294.72;
0.552238;-38.8285;-0.000269556;404.875;-0.000269556;404.875;42106.8;1297.8;1300.17;
0.552667;-34.13;-0.000200968;305.298;-0.000200968;305.298;42695.7;1306.84;1309.1;
0.553294;-21.1849;-9.98443e-05;164.505;-9.98443e-05;164.505;43251.7;1315.32;1317.4;
0.553877;-5.65612;-6.07579e-06;38.2258;-6.07579e-06;38.2258;43436.7;1318.13;1320;
0.554223;4.2479;3.8579e-05;0.00381262;3.8579e-05;0.00381262;43430.2;1318.03;1319.21;
0.554533;13.0839;6.7242e-05;-3.70632e-05;6.72421e-05;-3.70633e-05;43390.8;1317.43;1317.02;
0.554825;21.1583;9.31675e-05;-5.77066e-05;9.31678e-05;-5.77062e-05;43337.5;1316.62;1313.69;
0.555241;31.9862;0.000130224;-8.76843e-05;0.000130224;-8.76843e-05;43243.5;1315.2;1306.8;
0.556074;50.2813;0.000202695;-0.000148214;0.000202695;-0.000148214;43008.2;1311.61;1285.57;
0.557074;64.9545;0.000285676;-0.000221658;0.000285676;-0.000221658;42665.6;1306.38;1247.14;
0.558074;70.6112;0.000362835;-0.000295201;0.000362835;-0.000295201;42288.3;1300.59;1194.98;
0.559074;66.9274;0.000433262;-0.00036814;0.000433262;-0.00036814;41910.5;1294.77;1129.68;
0.560074;54.4744;0.00049641;-0.000439543;0.00049641;-0.000439543;41565.4;1289.42;1051.95;
0.561074;34.6939;0.000552014;-0.000508193;0.000552014;-0.000508193;41282.1;1285.02;962.646;
0.562074;9.75185;0.000600106;-0.000572695;0.000600106;-0.000572695;41082.8;1281.92;862.757;
0.563074;-17.6916;0.000640939;-0.000631554;0.000640939;-0.000631554;40980.5;1280.32;753.377;
0.564074;-44.7627;0.000674908;-0.000683279;0.000674908;-0.000683279;40978.5;1280.29;635.71;
0.565074;-68.6736;0.000702455;-0.000726486;0.000702455;-0.000726486;41069.8;1281.71;511.05;
0.566074;-87.0082;0.000723982;-0.000759995;0.000723982;-0.000759995;41238.4;1284.34;380.769;
0.567074;-97.9654;0.000739773;-0.000782916;0.000739773;-0.000782916;41460.6;1287.8;246.299;
0.568074;-100.535;0.000749943;-0.000794708;0.000749943;-0.000794708;41707.4;1291.63;109.12;
0.569074;-94.5874;0.00075441;-0.000795213;0.00075441;-0.000795213;41947.7;1295.34;-29.2595;
0.570074;-80.8757;0.000752895;-0.000784653;0.000752895;-0.000784653;42151.1;1298.48;-167.317;
0.571074;-60.9403;0.000744956;-0.000763604;0.000744956;-0.000763604;42291.5;1300.64;-303.534;
0.572074;-36.9387;0.000730044;-0.000732935;0.000730044;-0.000732935;42349.6;1301.53;-436.412;
0.573074;-11.4124;0.000707573;-0.000693731;0.000707573;-0.000693731;42315.1;1301;-564.49;
0.574074;12.9814;0.000677012;-0.000647202;0.000677012;-0.000647202;42187.7;1299.04;-686.358;
0.575074;33.746;0.000637968;-0.000594592;0.000637967;-0.000594592;41977.1;1295.79;-800.677;
0.576074;48.8002;0.000590263;-0.000537083;0.000590262;-0.000537083;41701.4;1291.53;-906.188;
0.577074;56.6857;0.000534001;-0.00047573;0.000534001;-0.00047573;41385.2;1286.63;-1001.73;
0.578074;56.7079;0.000469606;-0.000411403;0.000469605;-0.000411404;41056.8;1281.51;-1086.25;
0.579074;48.9948;0.00039783;-0.000344766;0.000397829;-0.000344767;40744.9;1276.63;-1158.83;
0.580074;34.4702;0.000319741;-0.000276274;0.000319741;-0.000276274;40475.6;1272.41;-1218.66;
0.581074;14.7455;0.000236677;-0.0002062;0.000236677;-0.0002062;40270.3;1269.18;-1265.08;
0.581515;8.57572;534.176;-0.000339231;534.176;-0.000339215;40874.6;1278.66;-1281.18;
0.581725;7.0543;626.732;-0.000361026;626.732;-0.00036103;41295.1;1285.23;-1287.85;
0.581829;6.73022;550.941;-0.000335216;550.941;-0.000335216;41500.4;1288.42;-1290.95;
0.581882;6.68756;525.122;-0.000318635;525.122;-0.000318635;41599.4;1289.95;-1292.46;
0.581922;6.71061;512.392;-0.000310348;512.392;-0.000310348;41672.2;1291.08;-1293.58;
0.581961;6.77871;502.573;-0.000303861;502.573;-0.000303861;41741.6;1292.15;-1294.64;
0.582039;7.04635;484.147;-0.000291556;484.147;-0.000291556;41876.2;1294.24;-1296.7;
0.582195;8.07703;447.595;-0.000266826;447.595;-0.000266826;42129.2;1298.14;-1300.56;
0.582507;11.8724;375.576;-0.000216963;375.576;-0.000216963;42569.5;1304.91;-1307.25;
0.583127;24.3179;236.137;-0.000117103;236.137;-0.000117103;43178.8;1314.21;-1316.39;
0.58375;40.1954;99.0137;-1.6404e-05;99.0137;-1.64037e-05;43425.7;1317.96;-1319.95;
0.584155;50.832;14.1411;4.78044e-05;14.1411;4.78045e-05;43392.7;1317.46;-1319.24;
0.584404;57.105;0.00561969;7.58085e-05;0.00561969;7.58085e-05;43324.2;1316.42;-1317.63;
0.584724;64.495;-4.03711e-05;0.000104226;-4.03713e-05;0.000104226;43215.5;1314.77;-1314.23;
0.585016;70.451;-6.17867e-05;0.00012952;-6.17869e-05;0.00012952;43104.6;1313.08;-1309.84;
0.58558;79.4781;-0.000104113;0.00017771;-0.000104113;0.000177709;42872.3;1309.54;-1297.87;
0.58658;86.7714;-0.000180907;0.000259177;-0.000180907;0.000259176;42432.8;1302.81;-1265.52;
0.58758;82.829;-0.000258975;0.000334548;-0.000258975;0.000334548;41993.5;1296.05;-1219.25;
0.58858;68.4075;-0.000337107;0.00040312;-0.000337107;0.000403119;41592.6;1289.85;-1159.56;
0.58958;45.2259;-0.000414032;0.000464756;-0.000414032;0.000464756;41264.3;1284.75;-1087.13;
0.59058;15.8407;-0.000488145;0.000519537;-0.000488145;0.000519537;41034.8;1281.17;-1002.73;
0.59158;-16.6066;-0.000557705;0.000567787;-0.000557706;0.000567786;40919.9;1279.37;-907.304;
0.59258;-48.7151;-0.000620949;0.000609972;-0.000620949;0.000609972;40923.6;1279.43;-801.898;
0.59358;-77.176;-0.000676213;0.000646598;-0.000676213;0.000646598;41038.1;1281.22;-687.67;
0.59458;-99.1115;-0.000722049;0.0006781;-0.000722049;0.0006781;41244.9;1284.44;-565.878;
0.59558;-112.365;-0.000757329;0.000704756;-0.000757329;0.000704756;41516.2;1288.66;-437.862;
0.59658;-115.709;-0.000781314;0.000726625;-0.000781314;0.000726624;41818.1;1293.34;-305.029;
0.59758;-108.962;-0.000793697;0.000743508;-0.000793697;0.000743508;42113.4;1297.9;-168.841;
0.59858;-92.9834;-0.000794604;0.000754958;-0.000794604;0.000754958;42366.2;1301.79;-30.7954;
0.59958;-69.5717;-0.000784559;0.000760314;-0.000784559;0.000760314;42545.1;1304.53;107.589;
0.60058;-41.2631;-0.000764424;0.000758767;-0.000764424;0.000758767;42626.9;1305.79;244.79;
0.60158;-11.057;-0.000735303;0.000749451;-0.000735303;0.000749451;42598.9;1305.36;379.298;
0.60258;17.9005;-0.00069844;0.000731545;-0.00069844;0.000731545;42460.5;1303.23;509.634;
0.60358;42.6438;-0.000655106;0.000704379;-0.000655105;0.000704379;42222.8;1299.58;634.363;
0.60458;60.6908;-0.0006065;0.000667531;-0.0006065;0.000667531;41907.1;1294.71;752.115;
0.60558;70.2908;-0.000553664;0.000620899;-0.000553664;0.000620899;41542.6;1289.07;861.594;
0.60658;70.5932;-0.000497419;0.000564755;-0.000497419;0.000564755;41162.7;1283.16;961.595;
0.60758;61.7206;-0.000438339;0.000499763;-0.000438339;0.000499763;40801.5;1277.52;1051.02;
0.60858;44.7401;-0.000376752;0.000426959;-0.000376752;0.000426959;40490.2;1272.64;1128.88;
0.60958;21.5376;-0.000312775;0.000347703;-0.000312775;0.000347703;40254.1;1268.92;1194.32;
0.61058;-5.38992;-0.000246375;0.000263605;-0.000246375;0.000263605;40110.3;1266.65;1246.63;
0.611188;-20.869;-0.00024897;143.6;-0.000248982;143.6;40304.8;1269.72;1271.78;
0.611434;-25.2843;-0.000398812;698.875;-0.000398809;698.875;40817.4;1277.77;1280.47;
0.611525;-26.5153;-0.000385066;594.508;-0.000385066;594.508;41017.1;1280.89;1283.48;
0.611568;-26.9951;-0.000362887;558.988;-0.000362887;558.988;41106.2;1282.28;1284.83;
0.611591;-27.2387;-0.000355118;546.628;-0.000355118;546.628;41155.2;1283.05;1285.58;
0.611614;-27.4522;-0.000350043;538.582;-0.000350043;538.582;41201.1;1283.76;1286.29;
0.611659;-27.825;-0.000342216;526.261;-0.000342216;526.261;41291.4;1285.17;1287.68;
0.61175;-28.3602;-0.000328021;504.168;-0.000328021;504.168;41466.4;1287.89;1290.37;
0.611921;-28.6443;-0.000301021;462.871;-0.000301021;462.871;41778.4;1292.72;1295.16;
0.612263;-26.6709;-0.000246399;381.819;-0.000246399;381.819;42324;1301.14;1303.49;
0.612949;-15.2138;-0.00013635;225.934;-0.00013635;225.934;43093.2;1312.91;1315.07;
0.613573;0.532601;-3.55179e-05;88.5571;-3.55179e-05;88.5571;43411;1317.74;1319.71;
0.613933;10.6939;2.14646e-05;14.2979;2.14646e-05;14.2979;43430.2;1318.03;1319.81;
0.614196;18.2027;5.11711e-05;0.00302704;5.11711e-05;0.00302704;43397.6;1317.54;1318.69;
0.614494;26.4174;7.80186e-05;-3.9107e-05;7.80184e-05;-3.91069e-05;43340.2;1316.67;1316.22;
0.614794;34.2718;0.000104628;-6.05829e-05;0.000104628;-6.05831e-05;43269;1315.58;1312.43;
0.615298;46.1906;0.000149067;-9.72389e-05;0.000149067;-9.72391e-05;43128.1;1313.44;1303.12;
0.616298;63.8194;0.00023432;-0.000171014;0.00023432;-0.000171014;42793.4;1308.33;1273.92;
0.617298;72.3675;0.000314406;-0.000245589;0.000314406;-0.000245589;42413.7;1302.52;1230.7;
0.618298;71.3016;0.000388155;-0.000320136;0.000388155;-0.000320135;42023.4;1296.51;1173.95;
0.619298;60.9568;0.000454968;-0.000393827;0.000454969;-0.000393827;41657.4;1290.85;1104.28;
0.620298;42.5757;0.000514485;-0.000465478;0.000514485;-0.000465478;41347.2;1286.04;1022.46;
0.621298;18.1948;0.000566654;-0.000533697;0.000566654;-0.000533697;41117.5;1282.46;929.4;
0.622298;-9.56877;0.000611675;-0.000596961;0.000611675;-0.000596961;40984.7;1280.39;826.114;
0.623298;-37.7935;0.000649909;-0.000653715;0.00064991;-0.000653715;40955.1;1279.92;713.74;
0.624298;-63.5587;0.000681794;-0.000702481;0.000681794;-0.000702481;41024.4;1281.01;593.515;
0.625298;-84.2454;0.00070774;-0.000741956;0.000707741;-0.000741956;41178.6;1283.41;466.762;
0.626298;-97.8018;0.00072806;-0.000771112;0.00072806;-0.000771112;41395.5;1286.79;334.874;
0.627298;-102.945;0.000742898;-0.000789259;0.000742898;-0.000789259;41646.7;1290.68;199.303;
0.628298;-99.2815;0.000752197;-0.000796091;0.000752197;-0.000796091;41900.2;1294.61;61.5392;
0.629298;-87.3325;0.000755694;-0.000791694;0.000755694;-0.000791694;42124.5;1298.07;-76.9014;
0.630298;-68.4653;0.000752941;-0.000776524;0.000752941;-0.000776525;42291;1300.63;-214.496;
0.631298;-44.7387;0.00074336;-0.00075136;0.00074336;-0.00075136;42377.7;1301.96;-349.731;
0.632298;-18.6789;0.000726311;-0.00071722;0.000726311;-0.000717221;42371.2;1301.86;-481.12;
0.633298;6.98876;0.000701183;-0.000675283;0.000701182;-0.000675283;42268.3;1300.28;-607.216;
0.634298;29.6239;0.000667477;-0.00062678;0.000667477;-0.00062678;42076;1297.32;-726.632;
0.635298;46.9425;0.000624901;-0.000572912;0.000624901;-0.000572912;41810.7;1293.22;-838.055;
0.636298;57.2463;0.000573429;-0.000514762;0.000573429;-0.000514762;41496.2;1288.35;-940.26;
0.637298;59.5887;0.000513359;-0.000453241;0.000513359;-0.000453241;41160.7;1283.13;-1032.12;
0.638298;53.8599;0.000445327;-0.00038905;0.000445327;-0.00038905;40833.8;1278.03;-1112.63;
0.639298;40.7846;0.000370301;-0.000322674;0.000370301;-0.000322675;40543.6;1273.48;-1180.9;
0.640298;21.8333;0.000289544;-0.000254407;0.000289544;-0.000254407;40313.6;1269.86;-1236.18;
0.641023;5.41743;0.000227799;-0.000203459;0.000227799;-0.000203459;40193.6;1267.97;-1267.79;
0.641331;0.242453;646.777;-0.00037745;646.777;-0.000377428;40727.9;1276.37;-1279.01;
0.641436;-1.04558;631.079;-0.000383556;631.079;-0.000383561;40952.6;1279.88;-1282.51;
0.6415;-1.67849;588.15;-0.000365394;588.15;-0.000365394;41088.8;1282.01;-1284.59;
0.641552;-2.08601;565.659;-0.000351139;565.659;-0.000351139;41194.2;1283.65;-1286.21;
0.641588;-2.32299;554.766;-0.000344186;554.766;-0.000344186;41267.8;1284.8;-1287.34;
0.641624;-2.50937;545.853;-0.000338449;545.853;-0.000338449;41337.9;1285.89;-1288.42;
0.641695;-2.75755;528.655;-0.000327288;528.655;-0.000327288;41474.6;1288.02;-1290.53;
0.641837;-2.77827;494.435;-0.000304779;494.435;-0.000304779;41734.9;1292.05;-1294.53;
0.642122;-1.10182;427.175;-0.000259427;427.175;-0.000259428;42201.5;1299.25;-1301.65;
0.642442;3.13404;353.476;-0.000208172;353.476;-0.000208172;42638.5;1305.96;-1308.28;
0.642893;12.2971;252.078;-0.000135474;252.078;-0.000135474;43094.5;1312.93;-1315.12;
0.64344;26.3249;131.935;-4.72036e-05;131.935;-4.72036e-05;43390;1317.42;-1319.46;
0.643846;37.5335;44.6962;1.80279e-05;44.6962;1.80279e-05;43427.2;1317.99;-1319.87;
0.644189;46.7734;0.0252581;6.41845e-05;0.0252581;6.41845e-05;43364.5;1317.03;-1318.35;
0.644458;53.6;-3.23381e-05;8.90687e-05;-3.23381e-05;8.90687e-05;43286.7;1315.85;-1315.96;
0.644706;59.3888;-5.01055e-05;0.000110608;-5.01058e-05;0.000110608;43203.9;1314.59;-1312.84;
0.645053;66.5929;-7.56705e-05;0.000140867;-7.56708e-05;0.000140867;43077;1312.66;-1306.97;
0.645747;77.3931;-0.00012762;0.000199831;-0.000127621;0.000199831;42799.1;1308.42;-1290.05;
0.646747;83.8313;-0.000204121;0.000280446;-0.000204121;0.000280446;42370.1;1301.85;-1253.67;
0.647747;79.3916;-0.000281481;0.000354786;-0.000281481;0.000354786;41943.2;1295.27;-1203.5;
0.648747;64.8508;-0.000358565;0.000422235;-0.000358565;0.000422235;41555.6;1289.27;-1140.09;
0.649747;41.9246;-0.000434096;0.000482649;-0.000434096;0.000482649;41240.2;1284.37;-1064.14;
0.650747;13.1339;-0.000506496;0.00053611;-0.000506496;0.000536109;41021.8;1280.97;-976.49;
0.651747;-18.4482;-0.000574063;0.000582935;-0.000574063;0.000582935;40915.2;1279.3;-878.094;
0.652747;-49.5145;-0.000635082;0.00062358;-0.000635082;0.00062358;40923.6;1279.43;-770.039;
0.653747;-76.8668;-0.000687947;0.000658535;-0.000687947;0.000658535;41039;1281.23;-653.514;
0.654747;-97.7431;-0.000731271;0.000688219;-0.000731271;0.000688218;41242.6;1284.41;-529.8;
0.655747;-110.095;-0.000763984;0.000712899;-0.000763984;0.000712898;41507.2;1288.52;-400.258;
0.656747;-112.786;-0.000785404;0.000732627;-0.000785404;0.000732627;41799.3;1293.05;-266.313;
0.657747;-105.697;-0.000795268;0.000747212;-0.000795268;0.000747212;42083;1297.43;-129.439;
0.658747;-89.7175;-0.000793738;0.000756224;-0.000793738;0.000756224;42323.6;1301.13;8.85952;
0.659747;-66.6415;-0.000781366;0.000759029;-0.000781366;0.000759029;42490.9;1303.7;147.06;
0.660747;-38.9644;-0.000759024;0.000754858;-0.000759024;0.000754858;42563;1304.81;283.643;
0.661747;-9.61582;-0.000727822;0.000742896;-0.000727821;0.000742896;42528.3;1304.27;417.106;
0.662747;18.3505;-0.000688997;0.000722378;-0.000688997;0.000722378;42386.6;1302.1;545.981;
0.663747;42.0733;-0.000643813;0.000692694;-0.000643813;0.000692694;42149.5;1298.45;668.85;
0.664747;59.1762;-0.000593459;0.000653479;-0.000593459;0.000653479;41838.1;1293.65;784.361;
